PID,Social Media Post,Normalized Claim
2316,so twitter suspended elon musk account because his not buying them anymore,twitter suspended elon musk account because his not buying them anymore
2318,two analysts have reviewed this pfizer document and reached different totals and percentages than did the author of this report,nearly half 44 of pregnant women in the pfizer covid 19 vaccine trial miscarried.
2319,owaisi sahab should make me the admin for such funny posts,asaduddin owaisi claims rajasthan cm has not met bhiwani victims' family
2320,"ninth fail is enough monkeys.... at the age when your father used to sell tea, tejashwi yadav got the youngest political award in london!!",tejaswi yadav is conferred with the youngest political leader award in london
2321,"a report of a suspected adr to the yellow card scheme does not necessarily mean that it was caused by the vaccine, only that the reporter has a suspicion it may have.","throughout europe, the usa, the uk and australia, medicine regulators have received reports of 77,068 deaths due to covid 19 vaccination."
2322,"the virus does not settle in the air but is grounded, so it is not transmitted by air",cronavirus does not settle in air but is grounded unicef
2323,"""the danger is that pupils will be over promoted into jobs that are beyond their competence"" gavin williamson",education secretary gavin williamson said the danger is that pupils will be overpromoted into jobs that are beyond their competence.
2325,"the vaccine that is coming... as many of you heard moderna is in stage 3 of their vaccine testing. if all goes ""well"" it will become federal law to get the vaccine. here is something many of you do not know. guess who the first ceo of moderna was? a cornell graduate by the name of anthony fauci, who was a roommate with none other than bill gates. are you paying attention? it was at cornell that bill gates designed the rfid radio frequency identification and patened it under us2006257852. are you awake yet? now let us really go down the rabbit hole. moderna was a pharmaceutical company that started in germany under the name ig farben. ig farben is infamous for it is mass production of zyklon b, the primary gas used to kill millions during the holocaust. after germany fell, ig farben was dissolved and its assets sold off by a nazi turned american by the name of, you guessed it, george soros. soros rebranded the company as moderna. and who was the primary stockholder of moderna until his death? jeffrey epstein. his role in moderna is where he made his fortune and established his connections. let that sink in. wake up people! you are being conditioned and controlled.","""if all goes 'well' it will become federal law to get the covid 19 vaccine."""
2327,this cost only 35 dollar thank you modi ji for saving some bucks from taxpayer money on your dress this time,this cost only 35 dollar thank you modi ji for saving some bucks from taxpayer money on your dress this time
2328,claim fake news circulating that annamalai commented briyani eaters not hindus,claim fake news circulating that annamalai commented briyani eaters not hindus
2329,pakistan army is top of the list in corrupt institutions of pakistan transparency international,transparency international has ranked the pakistan army as the most corrupt institution of the country
2330,just zoom and see at new york stock exchange what is displayed in digital display,just zoom and see at newyork stock exchange what is displayed in digital display
2331,we should not be happy that they civil servants spent the last few days promoting published research on one side of a referendum.,"4,300 cost to uk families if britain leaves the eu."
2332,"""frightening yet hauntingly beautiful,",says an image depicts hurricane dorian over the bahamas.
2333,japan has the oldest population in the world. the uk is 24th. japan also has a higher population density than the uk,far more people have died of covid 19 in the uk than in japan
2334,"currently bus drivers in japan are on strike continuing to drive their routes while refusing to take fares from passengers! so keeping japan on time, but costing the bus companies gas on top of lost revenue. dear world, this is how a protest is done","currently bus drivers in japan are on strike, continuing to drive their routes while refusing to take fares from passengers."
2337,"shri himself has cooked khichdi with hindenburg chief nathan anderson, now what is the justification for asking questions to the pm? think for yourself sir.",rahul gandhi meet with nathan anderson of hindenburg research
2338,tap water tests positive for covid... anybody with a functioning brain knows this is simply another example of the utter farce of this manufactured crisis. the tests do not and cannot test for anything!,tap water can return a positive lateral flow test result for covid 19.
2339,pfizer ceo says a fourth covid vaccine dose is necessary,pfizer's ceo said a fourth covid vaccine dose is necessary
2340,rajnath singh gives a setback to the central government while speaking with farmers against the against the farm bills,rajnath singh gives a setback to the central government while speaking with farmers against the against the farm bills
2341,"do not be surprise !! our ""vishwaguru"" never disappoint us special aircraft painted with the image cheetah to bring cheetah from namibia specially for the birthday of our vishwaguru","do not be surprise !! our ""vishwaguru"" never disappoint us special aircraft painted with the image cheetah to bring cheetah from namibia specially for the birthday of our vishwaguru"
2342,"rajasthan government has given a wonderful gift to hindus on janmashtami to provide relief to the people of all alam e islam by taking decision regarding madrassa mosque in very important section of ipc. if you stop them, you will be directly jailed for 3 years. no bail. you can also vote for congress in future and get a tomb built in your own home, that too for free.",rajasthan government has taken a decision on janmashtami to please the muslims.
2344,india became the first country to give 100 crore doses under the leadership of honorable prime minister,india is the first country to reach 1 billion vaccine doses
2346,"before you diagnose yourself with depression or low self esteem, first make sure you are not, in fact, surrounded by assholes","before you diagnose yourself with depression or low self esteem, first make sure you are not, in fact, surrounded by assholes"
2347,mahal ng mga dilawan ang mga pilipino kaya gusto nila na maranasan natin ang baha. salamat cory at noynoy. sana magkasama na kayong dalawa.,"a marcos flood control project was ""one of the many projects with the name 'marcos'"" scrapped by the late president cory aquino."
2349,researchers believe catching the virus in the colder winter months may be a factor in whether some symptoms persist.,imperial college london s react lc study found catching covid 19 in the colder winter months may be a factor in whether some people find their symptoms persisting.
2350,the human race has been reduced to slavery for thousands of years,keanu reeves said that humanity is showing signs of breaking free from the matrix .
2351,a fireman in jackson just informed us that they have responded to several calls where people are picking up money off the ground and then becoming numb. the money is laced with something and when touching other parts of body they become numb. this is a new way of targeting people to rob. they also have seen where zip ties are being placed on car doors targeting car person to rob. this is true and happening in jackson. so please do not pick up money you see on the ground no matter the denomination. stay vigilant and be careful let others know to be aware .,"people in jackson, mississippi, are being harmed by laced money"
2352,if the bjp govt. had any intention of fixing the mess they have created they would put aside petty politics seek the help of experts such as former pm dr. manmohan singh who has proved his mettle in economic affairs plenty of times.,"the sales of cars grew by 7.92 under upa government s term whereas under the current nda government, it has fallen by 36 ."
2353,"has lost its relevance today rahul gandhi is on bharat jodo yatra, trying to unite india congress is wanting to burn india intention of this tweet seems to ignite violence against 6 million rss workers nehru in pic is also a reality. what say ?","incindia has lost its relevance today rahul gandhi is on bharat jodo yatra, trying to unite india congress is wanting to burn india intention of this tweet seems to ignite violence against 6 million rss workers nehru in pic is also a reality. what say rahulgandhi ? pmoindia"
2354,when being anti bug is bigotry billions of people across the world eat insects as a part of their daily diet. we ask is it racist to not want to transition to a bug based diet?,the world economic forum published a tweet and article asking is it racist to not want to transition to a bug based diet?
2357,"if attack people, those who feed them could be held liable, says","the supreme court said that if stray dogs attack people, then those who feed the dogs can be held responsible. the court said that those who regularly feed and feed stray dogs can also be given the responsibility of getting the dogs vaccinated."
2359,shekhar babu has offended hindus by inviting foxes inside the sacred perumal temple.,h.raja warns sekar babu for allowing narikuravars into the holy perumal temple.
2360,"self charger the owner of this electric car, the chevy bolt, has done something that no ev manufacturer has done so far. something completely logical. i have always wondered why these cars were not designed for the energy generated by the spinning of the wheels to recharge the car's batteries. this man did it at home. what you see in the frame is a generator that produces a current that charges the batteries. you no longer have to stop charging batteries at charging stations or charge them at night at home. charges the batteries while the machine is running. it is that simple",an electric car can self charge as it drives by attaching a generator to the wheel to harness the energy as it spins.
2361,juice that helps cleanse the kidneys and liver!,you can get rid of uti and cleanse your kidneys and liver with juice
2362,the covid vaccine was pointless the flu vaccine has the mrna in it like the covid vax which was proved to be useless for transmitting and protection and caused soo many new problems with all the adverse effects and deaths due to the jab ! flu jabs role out and so does seriousl illness in our kids and deaths are being counted just after the flu shots. they tried getting the kids to have the jab and failed so they put it in the flu jabs to which has now sparked off another load off scary problems and deaths !! and now they will come up with another vaccine or booster to help us all over again ! keep your kids safe and use natural remedies that 100 percent work our immune system is the best defense,the influenza vaccine contains mrna like some covid 19 vaccines.
2364,"ian austin, 1 year as a junior minister at dclg, says he will not vote for labour. wall to wall coverage. ken clarke, 9 years as secretary of state, including as chancellor, says he will not vote for the conservatives. silence. balanced election coverage?","ken clarke, former conservative chancellor said he will not vote for the conservatives."
2366,turkey. a fire broke out in an entire residential tower in the center of bodrum,turkey. a fire broke out in an entire residential tower in the center of the stricken city of bodrum
2367,"twtr lying again covid 19 lies from earlier today there is no evidence that covid 19 vaccines because male fertility problems, the cdc says. but here are the ""disturbing findings""",pfizer vaccine damaging sperms permanently
2368,"the spanish meteorological agency has confessed that spain is being sprayed with lead dioxide, silver iodide and diatomite","the spanish meteorological agency has confessed that spain is being sprayed with lead dioxide, silver iodide and diatomite"
2369,amen !!!,climate change is actually geoengineering weather modified by chemtrails
2370,it would be most unwise to shutdown the akure airport. in 2018 it was the second fastest growing airport by passenger traffic according to 136 growth . we have seen how that has resulted in a new terminal and jobs at the airport. do not kill progress.,the claim that ondo state airport was the second fastest growing airport by passenger traffic in 2018
2372,920 women lose their unborn babies after getting vaccinated,"""920 women lose their unborn babies after getting vaccinated."""
2373,the jubilee party will form an alliance with odm for the 2022 elections. raila odinga will be the presidential candidate. picking lee kinyanjui as deputy party leader of jubilee could mean that he will be running mate to baba as peter kenneth is given nairobi county!,list of newly proposed jubilee party officials
2374,i feel so lucky to be in such good health and feel so good at this age,betty white died three days after she received her covid booster vaccine.
2376,mnlf chairman nur misuari signed the tripoli agreement in 1976 after he found out that malaysia had tricked him,mnlf chairman nur misuari signed the tripoli agreement in 1976 after he found out that malaysia had tricked him
2377,"flash report grupong gising maharlika, nagsasagawa ng kilos protesta sa harapan ng senado sa diokno blvd., pasay city upang igiinit ang no to mandatory vaccination at no to lockdown. via","the coronavirus, which is extremely small, can go through any mask, which has big fibers."
2378,a wonderful work of art carved from a single 5000 year old rock in india.,a wonderful work of a rt carved from a single 5000 year old rock in india
2381,living picture of present india,image of floods in india
2382,"we have more people, more employees on the payroll now, than there were before the pandemic began,","we now have 420,000 more people in employment than there were before the pandemic began."
2383,this is the suit of armour king henry viii made for his cat dagobert,this is the suit of armour king henry viii made for his cat dagobert
2384,"in my first four months in office, more than two million jobs have been created. that is more than double the rate of my predecessor, and more than eight times the rate of president reagan.","in my first four months in office, more than two million jobs have been created. that is more than double the rate of my predecessor, and more than eight times the rate of president reagan."
2385,"nbc news a 7th person has died as a result of the shooting at a 4th of july parade in highland park, il, a police spokesperson says.","says an image shows the highland park shooting suspect ""in jail or rehab or a psychiatric center"" before the shooting."
2386,the committee agreed that the potential health benefits of vaccination are greater than the potential health risks,more children suffered a severe reaction to the covd 19 vaccine than required oxygen therapy for covid 19.
2387,more than 1400 deaths have been reported following covid injections in the uk,"there have been 1,400 deaths and one million injured from covid 19 vaccinations in the uk."
2388,leaked conversation of messi and a saudi player,leaked conversation of messi and a saudi player
2389,i declare covid 19 over' world health organisation boss says coronavirus is no longer a global emergency,the world health organisation has declared the covid 19 pandemic over.
2390,"breaking trump confirms he requested 10,000 national guard troops for jan 6 to defend the city. says capitol officials under pelosi refused.","says he requested 10,000 national guardsmen for his january 6 rally, but nancy pelosi rejected it."
2391,most people feel the benefits of breast screening outweigh the possible risks,following a 10 year mammogram protocol will expose you to as much radiation as standing one mile from the atomic bombing in hiroshima.
2392,it is very important to note that a yellow card report does not necessarily mean the vaccine caused that reaction or event,"there have been 1,517 deaths and 1,102,228 adverse reactions caused by the covid 19 vaccines."
2393,"india takes a huge leap of 29 places to reach 52nd rank in 2019 from 81st rank in 2015 in the global innovation index. under the leadership of pm shri , india continues on improving innovation including ict services, exports, patents and r d.",india s global innovation index ranking has improved from 81 in 2015 to 52 in 2019
2394,after rajya sabha passes bill on,muslim women were dancing as a mark of celebration to the passage of triple talaq bill in rajya sabha.
2396,"new nrsc ad in 's proposed government run health care plan will raise taxes, increase wait times, and devastate rural hospitals. think about that.","steve bullock s health care plan will force rural hospitals to close. medicare as we know it will change, replaced by a government run program with fewer doctors and longer wait times."
2397,"""our health secretary's statement is clear that according to the fda's position, ivermectin can now be prescribed. medical societies should stop threatening their member doctors about prescribing this drug that is currently used in other country against covid 19 and undergoing clinical trials. deputy speaker bh """,doctors in the philippines may prescribe ivermectin to covid 19 patients.
2399,so the government have after two years changed their recommendations now claiming those who are pregnant or breastfeeding should not be taking the vax. too little too late for some,"the uk government has quietly you turned on its advice for pregnant and breastfeeding women and the covid 19 vaccine, and now advises them not to get vaccinated."
2401,when you have society willingly choosing blood clots and heart problems over cold and flu symptoms or no symptoms at all you know the world is officialy cooked,the risk of a blood clot following a covid 19 vaccine is worse than the cold or flu symptoms you may experience if infected.
2402,"if your drink has been spiked with a date rape drug it is unlikely that you will see, smell or taste any difference, no matter what type of drink you are having.","signs a drink has been spiked include change in colour, sinking ice, excessive bubbles, and a foggy appearance."
2403,a first lady trained to handle a gun. ukrainian first lady olena zelenska is on the frontline fighting russian forces. she is 44 years old. rt paul shalala,an image shows ukraine first lady olena zelenska in uniform
2404,"we have decided to build houses for hindus in kashmir with the proceeds from the film ""the kashmir files"" vivek ranjan agnihotri, director of the kashmir pel cinema",the kashmir files movie director vivek ranjan agnihotri pledged to build houses for kashmiri hindus from his movie profits
2406,"potato slice for acne. if you want to get rid of acne scars quickly, try using potato juice. potatoes are rich in vitamins and minerals, which help your skin to heal. slice a potato and put the slices on your face for 15 minutes, then rinse the juice off your face with warm water.",potatoes can help in getting rid of acne scars
2408,this is currently at state road 42 and state road 142 in downtown eminence indiana. black ice! drive safe folks! right by the citizens bank and dairyland. prayers to all involved,"""the cdc issued its first warning on jan 8. the first time trump admitted the coronavirus might be a problem was mar 13."""
2409,"full ingredient list never yet disclosed. distribution throughout the body is shown definitely in reports.but ... they told pregnant women and nursing mothers it was safe and effective. it is neither.this is the bbc. let us keep in mind they are an active arm of the govt propaganda and heavily funded by pharma. but they are finally reporting there is spike protein found in dead babies.they are also reporting the fact that there are more baby deaths than normal. a fact that has been refuted by all other mainstream channels, officials and doctors.wake up gps before you do any more harm!!",a bbc news article reported that spike protein had been found in dead babies .
2410,we sought to carry out a comparative safety study to examine the risk of hair loss with different antidepressants,antidepressants may cause hair loss
2411,existing uk asylum laws give some scope to refuse to consider an application if it is judged that the person could have claimed asylum elsewhere,under the geneva convention refugees should seek refuge in the first safe country they come to.
2412,"sheesha sahu, a 16 year old girl from allahabad, killed two rapists to save herself!","sheesha sahu, a 16 year old girl from allahabad, killed two rapists to save herself!"
2414,it is strongly recommended that you get vaccinated against covid 19 to protect you and your baby,mrna vaccines are not recommended for pregnant women or those who are breastfeeding.
2415,from synthetic life to engineering the climate how we are learning to manage the earth,an article published by the world economic forum confirms that the organisation is engineering the climate.
2416,"congratulations to pm shri ji for the world's longest highway tunnel 'atal tunnel'. this tunnel will play an important role in protecting the borders of the country. the distance between manali leh will also be reduced by 4 to 5 hours, giving a boost to the economy and tourism sector.",image of atal tunnel which is recently inaugurated in rohtang
2418,this is the queen herself throwing food to african kids like chicken and then you all have the audacity to post and type rest in....,this is the queen herself throwing food to african kids like chicken and then you all have the audacity to post and type rest in....
2419,cartoon network is shutting down,cartoon network is shutting down
2424,"unable to understand and translate, the translator walks away rahul gandhi does it again!","unable to understand and translate, the translator walks away rahul gandhi does it again!"
2428,pm modi can convince putin to end hostilities in ukraine white house,america says that indian prime minister narendra modi can stop this war
2429,of course you need a passport to get out i do. i would be surprised if you did not. you do not want to go around without a philippine passport.,philippine dual citizens must present ph passport to leave country
2430,tornado at the phillies game last night,tornado at the phillies game last night
2432,"rahul gandhi says that the culprits of the udaipur incident are children, they are mindless, i have no anger on them.",rahul gandhi called the udaipur tailor s murder accused as children and sought their pardon.
2433,does anyone else wonder if kimberly guilfoyle has a pole in her house?,"the trump family ""partied"" in a ""secure bunker"" while protesters stormed the capitol"
2434,"hindenburg three obscure facts there are three criminal inquiries into it in the us. due to their fraud methods, their bank accounts were frozen for an extended period of time. any reports regarding firms listed on the new york stock exchange are illegal to be published.","hindenburg three obscure facts there are three criminal inquiries into it in the us. due to their fraud methods, their bank accounts were frozen for an extended period of time. any reports regarding firms listed on the new york stock exchange are illegal to be published."
2435,"this is masterstroke! ""10 gram of ghee can produce 1 ton oxygen during yajna"". i hope indian govt will use this vedic science to produce more oxygen so that we can save lives during pandemic.",10 grams of ghee can produce 1 ton of oxygen during yajna
2436,my suspicion is that the lower figure of 59 relates to the fact that many british jews do not intend to emigrate to israel,the majority of british jews are zionists.
2438,"this account is not managed by extinction rebellion uk or extinction rebellion east midlands, and these messages are in no way a representation of the principles and values held by the movement and so are not the movement. we are investigating this now.",a branch of extinction rebellion tweeted in support of a flyer saying corona is the cure. humans are the disease. .
2439,we are clear about what we want from europe. we say yes to the single market,the government s eu leaflet distributed before the referendum said that leaving the eu meant leaving the single market.
2440,"popularity survey after bharat jodo yatra broke all records now there is no wave of rahul gandhi, there is a storm jai congress tay congress rahul gandhi zindabad """,results of aaj tak s latest survey that was conducted after the bharat jodo yatra that shows rahul gandhi is popular than modi
2441,i appreciate the positioning could be different on the main claim vs what can be proven at this moment in time,apple s airpod wireless earphones emit a dangerous amount of emf radiation.
2442,"i am not against vaccines. but these mrna vaccines must be stopped. the a.z. vaccine has destroyed my life, i have been suffering severe side effects for the past 12 months. now the world is starting to wake up. thousands have suffered severe side effects a lot worse than me, many have died. just look at how this young lady has had her life destroyed by the az vaccine. tragic claire bridges was a 21 year old model when she received the mrna vaccine. clair ended up having legs amputated due to blood clots, and now suffers from myocarditis kidney failure",the covid 19 vaccine caused claire bridges to lose both her legs.
2443,i want you to truly understand that currently there is a 100 positive rate because what the pcr is looking for is something that nobody knows,the covid 19 virus cannot be detected with tests.
2444,tiger attack in dubrajpur village of palojori block,
2445,independence is the only answer to westminsters asset stripping and robbing of scotland,scotland does not receive any money from england but instead receives part of its contribution back.
2446,congress mukt bharat,indira khan in burkha hijab rahul khan wearing cap.... they made fools out of entire hindu
2447,i am so disgusted how covid has been made to make more and more division between all of us ... first let us give you money and prizes to get vaccinated now let give you money for reporting someone who has made there own decision not to ???,"report unvaccinated people to win prize, money"
2448,"those 87,000 new irs agents that you were promised would only target the rich... they are coming after waitresses' tips now ""monitoring of employer compliance based on actual annual tip revenue and charge tip data from an employer's point of sale system.""","the 87,000 new irs agents who were supposed to only target the rich are now coming after waitresses tips."
2449,joe biden left marines behind in afghanistan. and now he left a marine behind in russia. americans are tired of his weakness on the world stage.,joe biden left marines behind in afghanistan. and now he left a marine behind in russia.
2450,"announcement i am with animal clients this morning. a visiting dog to the neighbours of my last client died overnight. please do not give your dogs ice cubes or other frozen items in the heat to cool them down! ice cubes do not cool dogs down! i post this warning more than once every summer. giving ice cubes to dogs in the heat has the opposite effect of cooling. the canine anterior hypothalamus is triggered to warm up the body because it recognises something icy cold has been absorbed, and subsequently the bodily temperature rises to compensate for this. in extreme heat a dogs' temperature needs to be reduced gradually. sadly the above is the case in the dog mentioned above, just 7 years old. give dogs tepid water only. tepid water soaked towels rubbed into the dogs fur close to the skin to wick away heat from the body will keep them cool, especially under forelegs armpits and pads. not ice cubes",giving dogs ice in hot weather causes them to overheat.
2451,there are no absolute figures given the furtive nature of this proclivity,the national crime agency says that one in 35 uk men have a sexual interest in children.
2452,pm modi bowed to saudi king salman bin abdulaziz al saud,pm modi is touching saudi king's feet
2454,black panther spotted in golconda fort creating panic situation nearby.,a black panther was spotted in golkonda hyderabad
2455,"assault on hindu temples continue in xtian ruled andhra pradesh.. eluru agraharam, canal road, teku bank, hanuman temple doors were broken hanuman jo's idol broken! what a shame!",recent pictures of vandalized hanuman idol in eluru
2456,we do not yet know whether getting vaccinated will stop you from catching and passing on the virus,vaccines do not stop you getting covid 19 or spreading it.
2457,higher intake of total flavonoids was associated with lower odds of subjective cognitive decline,eating plenty of colourful foods could reduce the risk of alzheimer's disease according to research.
2458,"after the japanese decimated our fleet in pearl harbor dec 7, 1941, they could have sent their troop ships and carriers directly to california to finish what they started. the prediction from our chief of staff was we would not be able to stop a massive invasion until they reached the mississippi river. remember, we had a 2 million man army and war ships in other localities, so why did they not invade? after the war, the remaining japanese generals and admirals were asked that question. their answer....they know that almost every home had guns and the americans knew how to use them","says the japanese military did not invade the mainland united states after pearl harbor because ""they know that almost every home had guns and the americans knew how to use them."""
2459,"heeraba, who inspired nation, dies modi first indian pm to lose parentwhile in office","heeraba, who inspired nation, dies modi first indian pm to lose parentwhile in office http toi.in 0eviwy a24gk"
2462,entire port in delaware on lockdown? 60 plus kids found in shipping containers... where is the media?,entire port in delaware on lockdown? 60 plus kids in shipping containers.
2463,"some have suggested that leaving the european union might present challenges to the uk but others disagree, labelling this as project fear",a majority of voters say violence against mps is worth it to get their way in brexit.
2465,"the chart is not a prediction, but it is a way of thinking about how quickly this can change.",the number of new covid 19 cases each day is roughly doubling every week.
2466,"a quick and easy diy to whitening your teeth. ingredients turmeric 1 teaspoon pure coconut oil 1 tablespoon benefits turmeric remove plaque, bacteria, gum diseases and bad breath. coconut oil healthier gums, plaque removal and whiter teeth.",you can whiten your teeth with coconut oil and turmeric
2468,"the government repeatedly claims exiting the eu is 'the will of the people'. we need to put a stop to this claim by proving the strength of public support now, for remaining in the eu. a people's vote may not happen so vote now",you can sign the revoke article 50 petition repeatedly using the same email address.
2469,"unesco has declared sub registrar honavar in karnataka, india, to have the most spectacular signature in the world...",unesco declared honnavar town sub registrar officer s signature as the most spectacular signature in the world
2471,kentucky fried chicken lost its case after years of trying to claim it was 100 chicken. the company was found guilty as only 15 of it is chicken and the remaining 85 is not good for human consumption only for dogs. the islamic judicial council withdrew its guarantee certificate as it also found that the spices.,us court said kfc is unfit for humans
2472,fans of afghanistan and pakistan clashed with each other.,fans of afghanistan and pakistan clash with each other
2473,avoid balanagar jeedimetla route. under construction flyover collapse. gold telangana,avoid balanagar jeedimetla route. under construction flyover collapse
2475,raise your hand if you are voting against trump in 2024. i want everyone to follow you!,"donald trump mocked ""i cannot breathe"" at an event"
2477,"facemasks are only recommended to be worn by infected individuals when advised by a healthcare worker, to reduce the risk of transmitting the infection to other people. it remains very unlikely that people receiving care in a care home or the community will become infected.","until 12 march, the government s advice said it was very unlikely people in care homes will become infected."
2478,"how is the josh indians.? china shows in reality ""ghuss kr marin gy""",pictures of martyred indian soldiers in the recent border clash between india and china in the galwan valley ladakh
2479,"when any nation mistrusts its citizens with guns, it is sending a clear message. it no longer trusts its citizens because such a government has evil plans.","quotes george washington as saying ""when any nation mistrusts its citizens with guns ... it no longer trusts its citizens because such a government has evil plans."""
2481,this message is to inform you all that dengue viral is going on. so please use coconut oil below your knees till your footsteps. it is a antibiotic. and a dengue mosquito can not fly higher than knees. so please keep this in mind.,dengue can be prevented with coconut oil
2482,hospitals on lockdown as first covid vaccine patients start eating other patients,hospitals on lockdown as first covid vaccine patients start eating other patients
2484,"allah has decided that these oppressors will be eliminated, we will establish shariah, somewhere or the other, it has to start. this is the ideology of amanatullah khan from the aap party. now, you also think, whether everything will be decided by allah or you will also decide something? do you want to establish shariah or not?",aap leader amanatullah khan said he wants to create sharia
2485,"""there has never been a leak of a vote, much less an actual opinion, much less in a case of this significance,"" says. he calls it a ""shattering experience for the justices"" and says ""i really do not know how the institution is going to recover.""","there has never been a leak anything like this draft of a supreme court opinion that would overturn roe v. wade. there is never been a leak of a vote much less an actual opinion, much less in a case of this significance."
2486,"eric trump says there never will be ""a president who has sacrificed so much of his wealth, made so many personal sacrifices as my father""","""when my father became commander in chief of this country, we got out of all international business."""
2487,corona virus before it reaches the lungs it remains in the throat for four days and at this time the person begins to cough and have throat pains. if he drinks water a lot and gargling with warm water salt or vinegar eliminates the virus. spread this information because you can save someone with this information,gargling water mixed with salt or vinegar eliminates the new coronavirus from your throat.
2488,"new guidelines of icmr for c 19 released on aug 6 sup th sup . br for prophylaxis tab br ivermectin 12 mg br on day 1, day 7 day 30 br 2 hrs after dinner. br followed by br every 30 days 1 tab of 12mg till pandemic is over",new guidelines of icmr for c 19 released on aug 6th
2489,"the new ncp coronavirus may not show sign of infection for many days, how can one know if he she is infected. by the time they have fever and or cough and goes to the hospital, the lungs is usually 50 fibrosis and its too late! taiwan experts provide a simple self check that we can do every morning take a deep breath and hold your breath for more than 10 seconds. if you complete it successfully without coughing, without discomfort, stuffiness or tightness etc it proves there is no fibrosis in the lungs, basically indicating no infection. in critical times, please self check every morning in an environment with clean air! serious excellent advice by japanese doctors treating covid 19 cases. everyone should ensure your mouth throat is moist, never dry. take a few sips of water every 15 mins at least. why? even if the virus gets into your mouth...drinking water or other liquids will wash them down through your oesophagus and into the stomach. once there in tummy...your stomach acid will kill all the virus. if you do not drink enough water more regularly...the virus can enter your windpipes and into the lungs. that is very dangerous. pls send and share with family, friends and everyone","to test for the new coronavirus, take a deep breath and hold for more than 10 seconds. if you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection."
2490,"there are 6 media companies that exist today, but there used to be 88. all 6 get their news from reuters and the associated press. reuters owns the ap and rothschilds own reuters",reuters owns the associated press.
2491,new yorkers are just tired of subsidizing other states with our tax dollars. new york subsidizes 42 other states. no state gets back less from washington than new york state. the federal government must stop shortchanging ny.,no state gets back less from washington than new york state.
2493,"let us all take a moment today to reflect on the mount vernon community's resilience 10 years after the skagit river bridge collapse. quick actions saved lives that day, and i remain proud of the work wsdot, state patrol, commerce others did to support the community's recovery.","""the forest fires were so grotesque last year that we had the worst air in the world in washington."""
2495,the worst decade for living standards since the last war and probably since the 1920s,the imf says that the uk will be the fastest growing advanced economy in the world in 2016.
2496,is there where they take his brain in and out?,joe biden has been seen with a large bruise on his forehead during a trip to poland.
2497,new currency note of rs 1000 of rb,rbi issued rs 1000 currency notes
2499,the shortest speech of the chief minister of assam in which he has said everything! understand. this is new india!,the shortest speech of the chief minister of assam in which he has said everything! understand. this is new india!
2500,"last time you were coming to tv running, asking people to light the torch, clap, bang the plates, what happened now, the snake sniffed?","last time you were coming to tv running, asking people to light the torch, clap, bang the plates, what happened now, the snake sniffed?"
2501,this is what the supreme court has legitimized today!,this is what the supreme court has legitimized today! haldwaniencroachment
2502,abortion rates in the us have been declining for decades already. whatever is being done at the moment is leading to fewer abortions every year. conservatives should like that. debate about abortions is purely ideological and hardly fact driven. source,abortion rates in the us have been declining for decades already
2503,it is important to understand that a careful assessment of the reports is ongoing and it has not been concluded that the mrna covid 19 vaccines because myocarditis or pericarditis,a probable new link has been found between the pfizer jab and the heart condition myocarditis.
2505,"eat chicken, beat corona",eat chiken beat coronavirus
2506,rip mr bean,rowan atkinson the person who played the mr bean character died recently
2507,we warned you. illegals can now become police officers. you cannot make this up.,those in the country illegally can be police officers in california
2508,"foreign tourists are also forced to show mirror to bjp ruled yogi government, yamuna ji is full of filth under the bjp government, this filth is a bad stain on the beauty of the taj mahal, it is very shameful for a foreign tourist to show the mirror to the government, this image of india and up has been created by the bjp government",
2510,"dennis prager ""during the aids crisis, can you imagine if gay men and intravenous drug users...had they been pariahs the way the non vaccinated are? but it would have been inconceivable""","""during the aids crisis, can you imagine if gay men and intravenous drug users ... had they been pariahs the way the non vaccinated are? but it would have been inconceivable."""
2511,visit masjid to read quran,cristiano ronaldo visit masjid to reading quran mash allah.
2512,"one of the worst days so far for coronavirus was the 10th of february. on that day, 108 persons in china died of coronavirus. but, on that same day 26,283 people died of cancer 24,641 died of heart disease 4,300 people died of diabetes and on that day, suicide, unfortunately, took more lives than the virus did, by 28 times. moreover, mosquitoes kill 2,740 people every day, humans kill 1,300 fellow humans every day, and snakes kill 137 people every day. take a deep breath, and wash your hands.",snakes kill 137 people every day
2515,dr bourla has not been arrested,pfizer ceo dr albert bourla was arrested on 5 november and held in custody for deceiving customers on the effectiveness of the covid 19 vaccine.
2516,"holding the tricolor in the hands, the mass struggle begins with the proclamation of bharat mata ki jai against corruption. rajasthan united in pilot jan sangharsh yatra",sachin pilot's 'jan sangharsh yatra' in rajasthan
2517,"the argos store in cooperation with xiaomi are doing a promotion for 50 electric scooters. participants have the opportunity to get a xiaomi mi pro 2 scooter at a very large discount. hurry up, the time of the promotion is limited",a facebook promotion in conjunction with retail chain argos is offering e scooters for 3.
2518,this means that you do not need to seek advice or request a letter from a medical professional about your reason for not wearing a face covering.,police will now require written evidence of a medical exemption if people are to avoid a fine for not wearing a mask.
2520,still think the tories are not deliberately destroying the nhs? spot the difference meanwhile... private hospitals are allowed to register as a charity saving them up to 80 on their business rates. nhs hospitals have just been hit with a 21 rise in their business rates this will just add to the financial pressures the nhs is already facing. coincidence? we think not! wr wear red stand up and be counted,nhs hospitals have been hit with a 21 rise in business rates.
